AETHALOMETER
Serial number = AE33-S07-00604
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;
2018/08/24 00:11:00 60 904328 764147 837679 939673 825766 876185 939432 818320 873711 901236 807610 851220 844937 853248 893038 657243 907727 914593 713542 913588 914274 3780 1214 4994 101325 21.11 41.1 29 38 0 0 10 10 00000 29 41 31 44 51 38 53 23 -2 24 29 72 30 44 10 45 26 53 26 37 31 37 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:12:00 60 904287 764073 837625 939617 825687 876129 939398 818250 873653 901236 807592 851226 844908 853210 893000 657200 907655 914528 713505 913534 914226 3780 1213 4993 101325 21.11 100.0 29 41 0 0 10 10 00000 29 38 44 41 34 13 35 51 97 53 26 -26 27 13 34 14 24 31 25 14 4 14 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:13:00 60 904227 764001 837561 939578 825629 876078 939383 818201 873622 901161 807503 851140 844886 853172 892965 657160 907577 914461 713447 913442 914150 3780 1214 4994 101325 21.11 0.0 29 40 0 0 10 10 00000 29 20 23 22 27 49 28 45 63 47 32 65 33 24 54 25 44 67 45 37 11 37 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:14:00 60 904271 763977 837579 939607 825621 876094 939399 818185 873633 901237 807548 851212 844916 853161 892990 657188 907580 914481 713493 913462 914192 3780 1213 4993 101325 21.11 0.0 29 41 0 0 10 10 00000 29 59 62 63 38 37 40 38 14 39 34 -1 35 63 31 65 69 113 70 80 109 82 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:15:00 60 904219 763904 837515 939589 825568 876056 939351 818124 873584 901139 807434 851113 844879 853098 892937 657142 907502 914413 713438 913383 914114 3780 1213 4993 101325 21.11 100.0 29 41 0 0 10 10 00000 29 28 43 30 42 70 44 24 16 25 38 28 39 39 64 41 28 24 28 18 48 18 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:16:00 60 904266 763899 837538 939583 825542 876059 939393 818137 873625 901237 807493 851181 844919 853108 892969 657204 907567 914493 713466 913400 914149 3780 1213 4993 101325 21.11 0.0 29 40 0 0 10 10 00000 29 43 56 46 23 -29 25 30 -7 31 42 105 43 47 47 48 40 37 41 39 6 40 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:17:00 60 904234 763832 837494 939582 825497 876034 939384 818098 873600 901216 807450 851155 844901 853070 892938 657178 907498 914444 713488 913408 914167 3780 1213 4993 101325 21.11 22.9 29 41 0 0 10 10 00000 29 38 39 41 50 80 52 39 61 41 35 26 36 30 55 31 64 76 65 42 65 42 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:18:00 60 904198 763738 837415 939547 825424 875986 939337 818019 873539 901154 807358 851083 844850 852989 892885 657132 907406 914370 713418 913273 914050 3780 1213 4993 101325 21.11 0.0 29 41 0 0 10 10 00000 29 61 125 66 48 51 50 48 64 50 53 58 55 45 -4 47 55 60 56 94 176 96 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:19:00 60 904253 763747 837461 939587 825419 876007 939388 818017 873565 901248 807406 851161 844895 853011 892912 657162 907429 914411 713442 913304 914083 3780 1213 4993 101325 21.11 0.0 29 39 0 0 10 10 00000 29 36 14 39 45 54 48 59 79 61 53 46 55 36 94 37 36 4 36 -1 -14 -1 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:20:00 60 904232 763675 837426 939608 825401 876018 939409 817994 873575 901273 807409 851177 844921 853007 892938 657179 907415 914417 713443 913267 914084 3780 1212 4992 101325 21.11 0.0 29 41 0 0 10 10 00000 29 52 43 56 41 28 43 52 35 54 28 33 29 46 7 48 72 105 74 79 2 81 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
